Star,FileName,RAdeg,DEdeg,Dist,Rad,Rad-Flame,Mass-Flame
OGLEII DIA BUL-SC33 4149,xsl_spectrum_X0185_merged_ncl_ncge.fits,271.4152672153,-28.50788354641,680.9846,0.349,,
OGLEII DIA BUL-SC33 4149,xsl_spectrum_X0185_merged_ncl_ncge.fits,271.41383548215,-28.50668995208,749.3267,0.5973,,
OGLEII DIA BUL-SC36 2158,xsl_spectrum_X0186_merged_ncl_ncge.fits,271.4686555991,-28.19431615909,1077.4468,1.4727,1.4879,0.886
HD 165438,xsl_spectrum_X0233_merged.fits,271.56395875304,-4.75139115998,36.0836,3.7138,3.6348,1.151
OGLEII DIA BUL-SC19 2302,xsl_spectrum_X0188_merged_ncl.fits,271.89667586108,-27.25955180131,4076.52,151.3544,147.4308,8.207
OGLEII DIA BUL-SC19 2302,xsl_spectrum_X0188_merged_ncl.fits,271.89756826943,-27.25906682231,735.1342,1.2531,1.2091,
HD 165887,xsl_spectrum_X0469_merged.fits,272.03021579871,2.21863557258,116.1823,2.5007,2.528,2.104
2MASS J18080765-3142020,xsl_spectrum_X0191_merged_ncl.fits,272.03189299566,-31.70062084944,4607.3599,107.555,108.6278,5.416
2MASS J18080765-3142020,xsl_spectrum_X0191_merged_ncl.fits,272.03218335606,-31.69957175266,1123.2706,1.1048,1.7451,0.953
2MASS J18092055-3147006,xsl_spectrum_X0426_merged.fits,272.33556999056,-31.78341641747,2343.6079,3.8798,4.0525,1.051
2MASS J18092055-3147006,xsl_spectrum_X0426_merged.fits,272.33481358626,-31.784533776,975.8648,0.4352,,
2MASS J18092323-3141039,xsl_spectrum_X0419_merged.fits,272.34677669233,-31.68444297971,2243.6138,3.9649,3.7642,1.471
2MASS J18092323-3141039,xsl_spectrum_X0419_merged.fits,272.34723471474,-31.68536494128,1257.311,0.4074,,
2MASS J18093159-3150397,xsl_spectrum_X0406_merged_scl.fits,272.38160724205,-31.84436870542,4455.6763,8.6885,8.2048,1.261
2MASS J18093159-3150397,xsl_spectrum_X0427_merged.fits,272.38160724205,-31.84436870542,4455.6763,8.6885,8.2048,1.261
2MASS J18093344-3145250,xsl_spectrum_X0652_merged.fits,272.38932744911,-31.75698243382,2484.8376,4.5212,4.3579,1.06
OGLE 204664c4?,xsl_spectrum_X0660_merged.fits,272.39157601464,-31.64830363666,2229.0117,4.1516,3.9051,1.001
HD 166161,xsl_spectrum_X0449_merged.fits,272.41907098919,-8.78017813436,190.7273,7.0794,7.4324,2.759
OGLEII DIA BUL-SC16 1428,xsl_spectrum_X0168_merged_ncl_ncge.fits,272.62308484143,-26.48336204573,5670.8394,309.8353,,
OGLEII DIA BUL-SC16 1428,xsl_spectrum_X0168_merged_ncl_ncge.fits,272.62217049068,-26.48431159596,1018.2602,1.6282,,
HD 166991,xsl_spectrum_X0450_merged.fits,273.26594920779,2.98058027342,110.4102,1.9272,1.9332,2.242
OGLEII DIA BUL-SC13 0324,xsl_spectrum_X0296_merged_ncge.fits,274.19797269143,-24.34234119819,3799.792,122.2372,,
HD 167946,xsl_spectrum_X0460_merged.fits,274.30983029025,5.75351261123,186.8933,2.2636,2.2283,2.596
RY CrA,xsl_spectrum_X0368_merged_ncl.fits,275.4919806762,-44.89988033941,1489.4203,89.5848,,
RY CrA,xsl_spectrum_X0428_merged.fits,275.4919806762,-44.89988033941,1489.4203,89.5848,,
HD 169032,xsl_spectrum_X0461_merged.fits,275.6125559206,7.22629438404,365.948,4.6785,4.883,3.135
OGLEII DIA BUL-SC08 1687,xsl_spectrum_X0218_merged_ncl_ncge.fits,275.83521032683,-21.59742544661,1707.0385,2.6957,2.6904,0.98
HD 170413,xsl_spectrum_X0481_merged.fits,277.31866244779,0.32303662981,226.3198,10.6688,10.8394,2.802
HD 170756,xsl_spectrum_X0300_merged.fits,277.56765147593,21.86682949604,1402.536,57.9296,,
HD 170783,xsl_spectrum_X0470_merged.fits,277.76852823163,4.6269140424,612.5477,7.0651,6.1792,4.501
HD 170899,xsl_spectrum_X0641_merged.fits,277.85904065157,8.02724966367,375.822,22.7394,27.0646,4.201
HD 171234,xsl_spectrum_X0648_merged.fits,278.38226713116,1.90358235166,163.0291,1.9141,1.9343,2.41
HD 171367,xsl_spectrum_X0678_merged.fits,278.60490896824,3.83055482265,259.0596,14.1732,14.1947,3.301
2MASS J18351420-3438060,xsl_spectrum_X0698_merged.fits,278.80917957099,-34.63503457685,13247.0869,27.5418,26.0769,2.704
2MASS J18351799-3428093,xsl_spectrum_X0139_merged.fits,278.82608576894,-34.47011925537,2371.3582,0.5068,,
2MASS J18352206-3429112,xsl_spectrum_X0138_merged.fits,278.84189934077,-34.48646971064,3064.0305,6.9104,6.942,2.355
2MASS J18352206-3429112,xsl_spectrum_X0138_merged.fits,278.84264056623,-34.48739370398,4210.9478,13.4919,12.6427,2.903
2MASS J18352834-3444085,xsl_spectrum_X0151_merged.fits,278.86815351388,-34.73572307713,3274.8853,5.9327,5.9497,2.28
2MASS J18352834-3444085,xsl_spectrum_X0171_merged.fits,278.86815351388,-34.73572307713,3274.8853,5.9327,5.9497,2.28
2MASS J18355679-3434481,xsl_spectrum_X0137_merged.fits,278.98662135664,-34.58006610935,4589.2378,11.6294,11.5599,2.504
HD 171496,xsl_spectrum_X0715_merged.fits,279.03118014749,-24.43646189265,245.2672,8.6297,8.423,2.676
HD 171496,xsl_spectrum_X0716_merged.fits,279.03118014749,-24.43646189265,245.2672,8.6297,8.423,2.676
HD 171496,xsl_spectrum_X0717_merged.fits,279.03118014749,-24.43646189265,245.2672,8.6297,8.423,2.676
HD 172230,xsl_spectrum_X0161_merged.fits,279.72897875588,6.27083329214,196.8457,3.9734,3.8431,2.3
HD 172365,xsl_spectrum_X0680_merged.fits,279.90366917377,5.264302101,487.248,31.1063,33.6997,5.375
HD 172472,xsl_spectrum_X0471_merged.fits,280.01783500581,7.76289093057,690.9521,36.1999,37.4341,5.189
HD 172506,xsl_spectrum_X0654_merged.fits,280.13026976939,2.68437499928,123.2139,1.9926,1.9936,1.579
HD 173073,xsl_spectrum_X0657_merged.fits,280.86004080742,3.78552699817,236.4249,3.1067,3.078,2.575
HD 173369,xsl_spectrum_X0472_merged.fits,281.15586899023,7.97768694726,184.8638,2.2648,2.062,1.824
HD 173669,xsl_spectrum_X0656_merged.fits,281.58184766489,5.15306824232,254.0207,2.6244,2.9445,2.72
G021-024,xsl_spectrum_X0663_merged.fits,281.86295511752,-3.64105545531,14.2699,0.6835,0.6951,
HD 174240,xsl_spectrum_X0163_merged.fits,282.40503192505,0.83612487277,178.1386,3.7402,3.6535,3.0
HD 174866,xsl_spectrum_X0645_merged.fits,283.25764540554,-9.5754539362,92.6642,2.2438,2.2626,2.495
HD 174966,xsl_spectrum_X0164_merged.fits,283.28263479821,1.75555397976,130.8319,2.0673,2.0589,1.732
HD 174966,xsl_spectrum_X0220_merged.fits,283.28263479821,1.75555397976,130.8319,2.0673,2.0589,1.732
HD 174966,xsl_spectrum_X0283_merged.fits,283.28263479821,1.75555397976,130.8319,2.0673,2.0589,1.732
HD 175181,xsl_spectrum_X0664_merged.fits,283.6164760402,-5.95767603262,244.8613,12.4632,12.5992,3.101
HD 175376,xsl_spectrum_X0667_merged.fits,283.8402390604,-5.14112268303,199.591,12.0585,11.1854,1.371
HD 175545,xsl_spectrum_X0165_merged.fits,283.96446511508,-0.73991494038,119.6938,7.3388,7.4303,1.241
HD 175640,xsl_spectrum_X0221_merged.fits,284.09440368973,-1.79994806359,159.2362,2.8167,2.8177,3.28
HD 175640,xsl_spectrum_X0294_merged.fits,284.09440368973,-1.79994806359,159.2362,2.8167,2.8177,3.28
HD 175805,xsl_spectrum_X0222_merged.fits,284.24206498678,2.46163507286,115.3976,2.7476,2.7466,1.552
HD 175805,xsl_spectrum_X0295_merged.fits,284.24206498678,2.46163507286,115.3976,2.7476,2.7466,1.552
HD 175892,xsl_spectrum_X0666_merged.fits,284.60348639948,-22.52943874788,87.6666,2.0549,2.0713,2.212
HD 176698,xsl_spectrum_X0473_merged.fits,285.36219093108,1.28844581511,237.3145,10.5421,10.8251,2.901
HD 176851,xsl_spectrum_X0451_merged.fits,285.6008026077,-5.54669738833,215.2117,4.3204,4.3089,2.158
HD 179315,xsl_spectrum_X0452_merged.fits,287.99653924734,4.3548290869,986.7684,64.8243,55.2713,5.764
HD 180086,xsl_spectrum_X0475_merged.fits,288.8429546462,-6.04971783969,103.688,2.9882,2.9957,1.912
GJ 752B,xsl_spectrum_X0209_merged.fits,289.23961563894,5.14979696551,893.8779,0.5258,0.5147,
GJ 752B,xsl_spectrum_X0209_merged.fits,289.24085200314,5.14993251388,3791.0139,10.1637,10.4047,1.862
CD-24 15398,xsl_spectrum_X0421_merged.fits,293.08657242246,-23.85378834721,699.4752,5.0522,5.2885,2.181
HD 184571,xsl_spectrum_X0679_merged.fits,293.75742744529,4.31125946945,177.2856,4.3199,4.4228,2.067
HD 185094,xsl_spectrum_X0668_merged.fits,294.43226301162,-5.06185329956,78.0542,1.5838,1.593,1.423
HD 232078,xsl_spectrum_X0210_merged.fits,294.55034068809,16.80697367292,1023.1874,100.7271,,
HD 232078,xsl_spectrum_X0273_merged.fits,294.55034068809,16.80697367292,1023.1874,100.7271,,
NGC 6838 1078,xsl_spectrum_X0494_merged.fits,298.40490897457,18.78893891009,2753.0908,21.3364,26.1343,3.801
NGC 6838 1078,xsl_spectrum_X0748_merged.fits,298.40490897457,18.78893891009,2753.0908,21.3364,26.1343,3.801
NGC 6838 1073,xsl_spectrum_X0735_merged.fits,298.42723411918,18.78565843239,3142.8301,6.1309,5.5167,2.181
NGC 6838 1073,xsl_spectrum_X0735_merged.fits,298.4263630768,18.78567372468,1603.6826,0.9103,0.8408,0.802
NGC 6838 1073,xsl_spectrum_X0762_merged_scl.fits,298.42723411918,18.78565843239,3142.8301,6.1309,5.5167,2.181
NGC 6838 1073,xsl_spectrum_X0762_merged_scl.fits,298.4263630768,18.78567372468,1603.6826,0.9103,0.8408,0.802
NGC 6838 1071,xsl_spectrum_X0734_merged.fits,298.43241565154,18.79153696268,1445.4709,0.5366,,
NGC 6838 1071,xsl_spectrum_X0734_merged.fits,298.43097362182,18.79275395477,2813.2773,0.9281,,
NGC 6838 1066,xsl_spectrum_X0718_merged.fits,298.43853777581,18.78205144809,6278.52,43.0754,28.1315,3.189
NGC 6838 1066,xsl_spectrum_X0719_merged.fits,298.43853777581,18.78205144809,6278.52,43.0754,28.1315,3.189
NGC 6838 1066,xsl_spectrum_X0720_merged.fits,298.43853777581,18.78205144809,6278.52,43.0754,28.1315,3.189
NGC 6838 1063,xsl_spectrum_X0713_merged.fits,298.44401267516,18.7956165226,4744.9058,20.5993,16.1622,2.993
NGC 6838 1063,xsl_spectrum_X0714_merged.fits,298.44401267516,18.7956165226,4744.9058,20.5993,16.1622,2.993
NGC 6838 1037,xsl_spectrum_X0491_merged.fits,298.45005659897,18.78573182899,2658.3391,7.922,12.3208,2.997
NGC 6838 1037,xsl_spectrum_X0704_merged.fits,298.45005659897,18.78573182899,2658.3391,7.922,12.3208,2.997
NGC 6838 1037,xsl_spectrum_X0705_merged.fits,298.45005659897,18.78573182899,2658.3391,7.922,12.3208,2.997
NGC 6838 1039,xsl_spectrum_X0389_merged.fits,298.45308560108,18.78817459739,2975.3687,5.8745,7.2673,2.482
NGC 6838 1039,xsl_spectrum_X0389_merged.fits,298.45441614611,18.78810825421,1632.1183,0.5582,0.4558,
NGC 6838 1039,xsl_spectrum_X0389_merged.fits,298.45396284689,18.78716269825,2559.4526,5.4518,6.9235,2.298
NGC 6838 1039,xsl_spectrum_X0706_merged_scl.fits,298.45308560108,18.78817459739,2975.3687,5.8745,7.2673,2.482
NGC 6838 1039,xsl_spectrum_X0706_merged_scl.fits,298.45441614611,18.78810825421,1632.1183,0.5582,0.4558,
NGC 6838 1039,xsl_spectrum_X0706_merged_scl.fits,298.45396284689,18.78716269825,2559.4526,5.4518,6.9235,2.298
NGC 6838 1053,xsl_spectrum_X0712_merged.fits,298.46098794937,18.81874662946,3965.6819,31.9538,32.0478,4.601
NGC 6838 1053,xsl_spectrum_X0712_merged.fits,298.46212707626,18.81943328496,4888.2666,10.2492,9.6502,2.975
CL* NGC 6838 AH A2,xsl_spectrum_X0408_merged.fits,298.47579462012,18.75907262865,4133.4302,9.7691,11.5439,2.901
CL* NGC 6838 AH A2,xsl_spectrum_X0681_merged.fits,298.47579462012,18.75907262865,4133.4302,9.7691,11.5439,2.901
CL* NGC 6838 AH A2,xsl_spectrum_X0701_merged_scl.fits,298.47579462012,18.75907262865,4133.4302,9.7691,11.5439,2.901
G024-003,xsl_spectrum_X0480_merged.fits,301.43405849057,4.04725762139,130.3242,0.9382,0.94,
HD 345957,xsl_spectrum_X0213_merged.fits,302.69984757933,23.96542265615,109.3881,1.6638,1.6626,1.161
HD 191709,xsl_spectrum_X0671_merged.fits,302.82870173111,-0.12658086302,124.3561,3.433,3.3709,1.856
HD 193225,xsl_spectrum_X0483_merged.fits,304.75300582227,2.23340757129,86.8475,1.7212,1.7225,1.539
HD 193281,xsl_spectrum_X0194_merged_scl.fits,305.11616562355,-29.19721428436,162.2406,3.1087,3.155,2.776
HD 193281,xsl_spectrum_X0267_merged.fits,305.11616562355,-29.19721428436,162.2406,3.1087,3.155,2.776
HD 193896,xsl_spectrum_X0195_merged.fits,305.75340202625,-9.65478358283,183.7209,13.6809,13.4153,3.193
HD 193896,xsl_spectrum_X0297_merged.fits,305.75340202625,-9.65478358283,183.7209,13.6809,13.4153,3.193
HD 194453,xsl_spectrum_X0196_merged.fits,306.35596048179,6.6417927872,188.7418,2.9502,3.0796,2.835
HD 194453,xsl_spectrum_X0288_merged.fits,306.35596048179,6.6417927872,188.7418,2.9502,3.0796,2.835
HD 195729,xsl_spectrum_X0695_merged.fits,308.2371289763,2.42747359271,190.1584,2.3123,2.308,2.375
HD 196125,xsl_spectrum_X0673_merged.fits,308.8623030639,-2.05147319365,138.6776,2.352,2.3338,1.74
HD 196218,xsl_spectrum_X0696_merged.fits,308.92800170278,3.30259101513,55.3921,1.4826,1.4873,1.203
HD 196426,xsl_spectrum_X0199_merged.fits,309.32660986556,0.09690358303,183.0778,3.6312,3.4177,3.57
HD 196426,xsl_spectrum_X0289_merged.fits,309.32660986556,0.09690358303,183.0778,3.6312,3.4177,3.57
CD-30 18140,xsl_spectrum_X0682_merged.fits,311.02756632701,-30.00250628176,146.0025,0.3244,0.3217,
HD 200081,xsl_spectrum_X0177_merged.fits,315.34340248054,-2.51404188036,275.6224,8.7316,9.4012,2.697
HD 200081,xsl_spectrum_X0292_merged.fits,315.34340248054,-2.51404188036,275.6224,8.7316,9.4012,2.697
HD 200494,xsl_spectrum_X0438_merged.fits,315.91316699339,2.92636506994,136.8553,8.484,8.4981,1.373
HD 201053,xsl_spectrum_X0436_merged.fits,316.77061451849,5.4434541595,173.0141,10.4143,10.3944,2.501
HD 201237,xsl_spectrum_X0721_merged.fits,317.17309964293,-19.99585516759,54.1606,0.8123,0.811,
HD 201237,xsl_spectrum_X0722_merged.fits,317.17309964293,-19.99585516759,54.1606,0.8123,0.811,
HD 201237,xsl_spectrum_X0723_merged.fits,317.17309964293,-19.99585516759,54.1606,0.8123,0.811,
HD 201377,xsl_spectrum_X0433_merged.fits,317.31698882332,-0.23494053553,101.4386,1.9544,1.963,2.372
HD 201626,xsl_spectrum_X0197_merged_ncge.fits,317.4967464001,26.61540602136,267.5151,9.8857,11.2553,3.003
HD 201626,xsl_spectrum_X0274_merged.fits,317.4967464001,26.61540602136,267.5151,9.8857,11.2553,3.003
G187-40,xsl_spectrum_X0198_merged.fits,320.49163509022,27.45356629632,105.4852,0.7613,0.7646,
G187-40,xsl_spectrum_X0198_merged.fits,320.49016617326,27.451542884,1345.4694,0.9233,0.8759,
HD 204155,xsl_spectrum_X0179_merged.fits,321.67951211271,5.44054408791,75.0626,1.3844,1.385,1.031
HD 204155,xsl_spectrum_X0275_merged.fits,321.67951211271,5.44054408791,75.0626,1.3844,1.385,1.031
NGC 7078 1079,xsl_spectrum_X0388_merged.fits,322.56523184861,12.13970508254,4408.1763,10.449,10.3983,3.077
G188-22,xsl_spectrum_X0176_merged.fits,325.986826084,27.38928479156,131.4424,1.1162,1.1135,1.081
HD 207222,xsl_spectrum_X0730_merged.fits,326.73446710435,21.29740046389,253.0569,1.8505,1.8709,2.274
HD 207222,xsl_spectrum_X0731_merged.fits,326.73446710435,21.29740046389,253.0569,1.8505,1.8709,2.274
HD 207222,xsl_spectrum_X0732_merged.fits,326.73446710435,21.29740046389,253.0569,1.8505,1.8709,2.274
G018-039,xsl_spectrum_X0445_merged.fits,334.65338103134,8.44536883141,155.3371,1.0939,1.1002,1.193
HD 214080,xsl_spectrum_X0443_merged.fits,339.02683262267,-16.38806946533,1357.3843,10.6567,,
HD 215578,xsl_spectrum_X0787_merged.fits,341.49355948926,19.2502992589,215.1299,9.4243,10.3461,2.7
HD 215578,xsl_spectrum_X0788_merged.fits,341.49355948926,19.2502992589,215.1299,9.4243,10.3461,2.7
HD 215578,xsl_spectrum_X0789_merged.fits,341.49355948926,19.2502992589,215.1299,9.4243,10.3461,2.7
HD 216219,xsl_spectrum_X0216_merged.fits,342.71750310696,18.0021707019,116.705,3.5385,3.0946,1.568
HD 216219,xsl_spectrum_X0278_merged.fits,342.71750310696,18.0021707019,116.705,3.5385,3.0946,1.568
HD 218502,xsl_spectrum_X0414_merged.fits,347.16453506592,-15.05459038933,74.2925,1.3426,1.3383,1.188
HD 218857,xsl_spectrum_X0415_merged.fits,347.85224290182,-16.25154280253,327.0633,6.0498,6.405,2.484
HD 221170,xsl_spectrum_X0442_merged.fits,352.36995082918,30.43249683133,520.0583,25.6366,25.9371,4.575
HD 221149,xsl_spectrum_X0749_merged.fits,352.40145792399,-6.83577154549,112.3687,2.2301,2.226,1.281
GJ 768.1 B,xsl_spectrum_MD017_merged_scl.fits,297.75402804849,10.41055394679,19.3478,0.376,0.3771,
G 143-35,xsl_spectrum_MD018_merged_scl.fits,302.80405768606,16.18644996418,893.7136,0.7709,0.7459,0.724
V* V645 Cen,xsl_spectrum_MD021_merged_scl.fits,217.39988636638,-62.67591033731,675.5271,0.7427,,
HD 115404B,xsl_spectrum_MD023_merged_ncl_ncge.fits,199.21782799374,17.01546367446,11.0131,0.6024,0.5982,
HD 1638,xsl_spectrum_X0023_merged.fits,5.11805879823,-30.55558275021,714.071,26.4289,30.2392,4.601
HD 1638,xsl_spectrum_X0180_merged.fits,5.11805879823,-30.55558275021,714.071,26.4289,30.2392,4.601
